City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Envira,BR,82.36,overcast clouds,-7.3,-70.2167,
403,Mayumba,GA,70.74,broken clouds,-3.432,10.6554,LIKWALE LODGE
405,Stenlille,DK,69.62,overcast clouds,55.5402,11.5915,ASSENTORP CAMPING
406,Pisco,PE,64.45,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
408,Hay River,CA,62.56,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
411,Verkhnevilyuysk,RU,68.18,clear sky,63.4453,120.3167,Gostinitsa Mila
412,Owando,CG,75.56,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
414,Sinop,TR,61.86,clear sky,41.7711,34.8709,
416,Kiunga,PG,71.33,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
417,Padang,ID,77.58,scattered clouds,-0.9492,100.3543,Mercure Padang
418,Caucaia,BR,80.55,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
419,Sao Joao Da Barra,BR,71.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
420,Perivolion,GR,76.55,clear sky,39.4206,20.0147,Santa Maria
421,Longonjo,AO,60.73,clear sky,-12.9067,15.2533,
423,Balkanabat,TM,83.46,clear sky,39.5108,54.3671,Nebitchi Hotel
426,Yangcun,CN,80.28,broken clouds,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
427,Mbengwi,CM,61.03,overcast clouds,6.0167,10.0,Senate Hotel
428,Talara,PE,68.43,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
429,Ambanja,MG,65.01,few clouds,-13.6833,48.45,Hotel Salama and Fast Food
430,Grand Gaube,MU,70.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
433,Niquero,CU,84.47,scattered clouds,20.0431,-77.5828,Islazul Niquero
435,Ilfracombe,GB,64.6,broken clouds,51.2093,-4.1134,The Sandy Cove Hotel
436,Ampanihy,MG,61.39,broken clouds,-24.7,44.75,Angora Hotel
437,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
